0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862
0.0, 0.0|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.25452, 0.858
0.0, 0.0|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.864|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.25452, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.24196, 0.856|2.24196, 0.856|2.23568, 0.856
0.0, 0.0|2.30476, 0.872|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.854|2.23568, 0.854|2.2294, 0.854|2.2294, 0.854|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.22312, 0.852
0.0, 0.0|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.864|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.86|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.856|2.2294, 0.854|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.22312, 0.852|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21056, 0.852|2.21056, 0.852|2.21056, 0.85|2.21056, 0.85|2.20428, 0.85
0.0, 0.0|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.854|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.852|2.21056, 0.852|2.21056, 0.85|2.21056, 0.85|2.20428, 0.85|2.20428, 0.85|2.198, 0.85|2.198, 0.85|2.198, 0.848|2.198, 0.848|2.19172, 0.848|2.19172, 0.848
