0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864
0.0, 0.0|2.30476, 0.872|2.30476, 0.872|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.26708, 0.86|2.26708, 0.86|2.26708, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.856|2.24824, 0.856
0.0, 0.0|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.862|2.27336, 0.862|2.27336, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.25452, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.856|2.24824, 0.856|2.24824, 0.856|2.24196, 0.856|2.24196, 0.856|2.24196, 0.856|2.24196, 0.856|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.854|2.23568, 0.854|2.23568, 0.854|2.23568, 0.854|2.2294, 0.854|2.2294, 0.854|2.2294, 0.854|2.2294, 0.854|2.2294, 0.852|2.2294, 0.852|2.2294, 0.852|2.2294, 0.852|2.22312, 0.852|2.22312, 0.852|2.22312, 0.852|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.85|2.21684, 0.85|2.21684, 0.85|2.21684, 0.85|2.21056, 0.85|2.21056, 0.85|2.21056, 0.85|2.21056, 0.85
0.0, 0.0|2.30476, 0.872|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.87|2.29848, 0.868|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.864|2.27336, 0.862|2.27336, 0.862|2.26708, 0.862|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.25452, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.24196, 0.856|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.854|2.23568, 0.854|2.2294, 0.854|2.2294, 0.854|2.2294, 0.854|2.2294, 0.854|2.22312, 0.854|2.2294, 0.852|2.22312, 0.852|2.22312, 0.852|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.85|2.21684, 0.85|2.21684, 0.85|2.21056, 0.85|2.21056, 0.85|2.21056, 0.85|2.20428, 0.85|2.20428, 0.85|2.20428, 0.848|2.20428, 0.848|2.20428, 0.848|2.20428, 0.848|2.198, 0.848|2.198, 0.848|2.198, 0.848|2.198, 0.846|2.198, 0.846|2.198, 0.846|2.19172, 0.846|2.19172, 0.846|2.19172, 0.846|2.18544, 0.846|2.18544, 0.846|2.18544, 0.846|2.18544, 0.844|2.18544, 0.844|2.18544, 0.844|2.17916, 0.844|2.17916, 0.844|2.17916, 0.844|2.17916, 0.842|2.17916, 0.842|2.17916, 0.842|2.17288, 0.842|2.17288, 0.842|2.17288, 0.842
0.0, 0.0|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.2922, 0.87|2.29848, 0.868|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.864|2.26708, 0.862|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.25452, 0.858|2.25452, 0.858|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.23568, 0.854|2.23568, 0.854|2.2294, 0.854|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.22312, 0.852|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.852|2.21684, 0.85|2.21684, 0.85|2.21056, 0.85|2.21056, 0.85|2.20428, 0.85|2.20428, 0.85|2.20428, 0.848|2.20428, 0.848|2.198, 0.848|2.198, 0.848|2.198, 0.848|2.19172, 0.848|2.198, 0.846|2.19172, 0.846|2.19172, 0.846|2.19172, 0.846|2.18544, 0.846|2.18544, 0.846|2.18544, 0.844|2.18544, 0.844|2.17916, 0.844|2.17916, 0.844|2.17916, 0.844|2.17288, 0.844|2.17288, 0.844|2.17288, 0.842|2.17288, 0.842|2.1666, 0.842|2.1666, 0.842|2.1666, 0.842|2.16032, 0.842|2.1666, 0.84|2.16032, 0.84|2.16032, 0.84|2.16032, 0.84|2.15404, 0.84|2.15404, 0.84|2.15404, 0.84|2.15404, 0.838|2.15404, 0.838|2.14776, 0.838|2.14776, 0.838|2.14776, 0.838|2.14148, 0.838|2.14148, 0.838|2.14148, 0.836|2.14148, 0.836|2.14148, 0.836|2.1352, 0.836|2.1352, 0.836|2.1352, 0.836|2.12892, 0.836
0.0, 0.0|2.30476, 0.87|2.30476, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.864|2.27964, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.856|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.22312, 0.852|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21056, 0.852|2.21056, 0.85|2.21056, 0.85|2.20428, 0.85|2.20428, 0.85|2.20428, 0.848|2.198, 0.848|2.198, 0.848|2.19172, 0.848|2.19172, 0.848|2.19172, 0.846|2.19172, 0.846|2.18544, 0.846|2.18544, 0.846|2.17916, 0.846|2.17916, 0.846|2.17916, 0.844|2.17916, 0.844|2.17288, 0.844|2.17288, 0.844|2.17288, 0.842|2.1666, 0.842|2.1666, 0.842|2.1666, 0.842|2.16032, 0.842|2.16032, 0.842|2.16032, 0.84|2.15404, 0.84|2.15404, 0.84|2.15404, 0.84|2.14776, 0.84|2.14776, 0.838|2.14776, 0.838|2.14776, 0.838|2.14148, 0.838|2.14148, 0.838|2.1352, 0.838|2.1352, 0.838|2.1352, 0.836|2.1352, 0.836|2.12892, 0.836|2.12892, 0.836|2.12264, 0.836|2.12264, 0.836|2.12264, 0.834|2.12264, 0.834|2.12264, 0.834|2.11636, 0.834|2.11636, 0.834|2.11008, 0.834|2.11008, 0.834|2.11008, 0.832|2.11008, 0.832|2.1038, 0.832|2.1038, 0.832|2.1038, 0.832|2.09752, 0.832|2.09752, 0.832|2.09752, 0.83|2.09752, 0.83|2.09124, 0.83|2.09124, 0.83
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24824, 0.858|2.24196, 0.858|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.22312, 0.852|2.21684, 0.852|2.21684, 0.852|2.21056, 0.852|2.21056, 0.85|2.20428, 0.85|2.20428, 0.85|2.198, 0.85|2.198, 0.848|2.198, 0.848|2.19172, 0.848|2.19172, 0.848|2.19172, 0.846|2.18544, 0.846|2.18544, 0.846|2.17916, 0.846|2.17916, 0.844|2.17288, 0.844|2.17288, 0.844|2.1666, 0.844|2.1666, 0.844|2.1666, 0.842|2.16032, 0.842|2.16032, 0.842|2.15404, 0.842|2.15404, 0.842|2.15404, 0.84|2.14776, 0.84|2.14776, 0.84|2.14148, 0.84|2.14148, 0.84|2.14148, 0.838|2.1352, 0.838|2.1352, 0.838|2.1352, 0.836|2.1352, 0.836|2.12892, 0.836|2.12892, 0.836|2.12264, 0.836|2.12264, 0.836|2.12264, 0.834|2.11636, 0.834|2.11636, 0.834|2.11008, 0.834|2.11008, 0.834|2.11008, 0.832|2.11008, 0.832|2.1038, 0.832|2.1038, 0.832|2.09752, 0.832|2.09752, 0.832|2.09124, 0.832|2.09124, 0.832|2.09124, 0.83|2.09124, 0.83|2.08496, 0.83|2.08496, 0.83|2.07868, 0.83|2.07868, 0.83|2.07868, 0.828|2.07868, 0.828|2.0724, 0.828|2.0724, 0.828|2.06612, 0.828|2.06612, 0.828|2.06612, 0.826|2.06612, 0.826|2.05984, 0.826|2.05984, 0.826|2.05984, 0.826|2.05356, 0.826|2.05356, 0.826
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27964, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.2608, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.854|2.22312, 0.854|2.21684, 0.854|2.21684, 0.852|2.21684, 0.852|2.21056, 0.852|2.21056, 0.85|2.20428, 0.85|2.198, 0.85|2.198, 0.85|2.198, 0.848|2.19172, 0.848|2.18544, 0.848|2.18544, 0.846|2.18544, 0.846|2.17916, 0.846|2.17288, 0.846|2.17288, 0.844|2.17288, 0.844|2.1666, 0.844|2.1666, 0.842|2.16032, 0.842|2.16032, 0.842|2.15404, 0.842|2.15404, 0.84|2.15404, 0.84|2.14776, 0.84|2.14148, 0.84|2.14148, 0.84|2.14148, 0.838|2.1352, 0.838|2.12892, 0.838|2.12892, 0.838|2.12892, 0.836|2.12264, 0.836|2.12264, 0.836|2.11636, 0.836|2.11636, 0.836|2.11636, 0.834|2.11008, 0.834|2.11008, 0.834|2.1038, 0.834|2.1038, 0.832|2.1038, 0.832|2.09752, 0.832|2.09752, 0.832|2.09124, 0.832|2.09124, 0.83|2.08496, 0.832|2.08496, 0.83|2.08496, 0.83|2.07868, 0.83|2.07868, 0.83|2.0724, 0.83|2.0724, 0.828|2.0724, 0.828|2.06612, 0.828|2.06612, 0.828|2.05984, 0.828|2.05984, 0.828|2.05984, 0.826|2.05984, 0.826|2.05356, 0.826|2.05356, 0.826|2.04728, 0.826|2.04728, 0.826|2.041, 0.826|2.041, 0.824|2.041, 0.824|2.03472, 0.824|2.03472, 0.824|2.03472, 0.824|2.02844, 0.824|2.02844, 0.824|2.02844, 0.822|2.02216, 0.822|2.02216, 0.822|2.02216, 0.822|2.01588, 0.822
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27336, 0.866|2.27336, 0.864|2.26708, 0.864|2.2608, 0.862|2.2608, 0.862|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.23568, 0.858|2.23568, 0.856|2.2294, 0.856|2.2294, 0.854|2.22312, 0.854|2.21684, 0.854|2.21684, 0.852|2.21056, 0.852|2.20428, 0.852|2.20428, 0.85|2.198, 0.85|2.198, 0.848|2.19172, 0.848|2.19172, 0.848|2.18544, 0.848|2.18544, 0.846|2.17916, 0.846|2.17288, 0.846|2.17288, 0.844|2.1666, 0.844|2.16032, 0.844|2.16032, 0.842|2.16032, 0.842|2.15404, 0.842|2.14776, 0.842|2.14776, 0.84|2.14148, 0.84|2.14148, 0.84|2.1352, 0.84|2.1352, 0.838|2.12892, 0.838|2.12892, 0.838|2.12264, 0.838|2.12264, 0.836|2.11636, 0.836|2.11636, 0.836|2.11008, 0.836|2.11008, 0.834|2.1038, 0.834|2.1038, 0.834|2.09752, 0.834|2.09752, 0.832|2.09124, 0.832|2.09124, 0.832|2.08496, 0.832|2.08496, 0.832|2.07868, 0.832|2.07868, 0.83|2.0724, 0.83|2.0724, 0.83|2.06612, 0.83|2.06612, 0.83|2.06612, 0.828|2.05984, 0.828|2.05984, 0.828|2.05356, 0.828|2.05356, 0.826|2.05356, 0.826|2.04728, 0.826|2.04728, 0.826|2.041, 0.826|2.041, 0.826|2.03472, 0.826|2.03472, 0.824|2.03472, 0.824|2.02844, 0.824|2.02844, 0.824|2.02216, 0.824|2.02216, 0.824|2.01588, 0.824|2.01588, 0.822|2.01588, 0.822|2.0096, 0.822|2.0096, 0.822|2.00332, 0.822|2.00332, 0.822|2.00332, 0.82|1.99704, 0.822|1.99704, 0.82|1.99704, 0.82|1.99076, 0.82|1.99076, 0.82|1.98448, 0.82|1.98448, 0.82|1.98448, 0.818
